Line#,Quantity Per Part Number,Reference Designator,Part Number,Part Description,Package,Type,Manufacturers Name,Manufacturers Part Number,Distributors Part Number,Distributor,Notes
1,2,"U1,U2",ESP32-S3-Zero,"ESP32-S3FH4R2 module, USB-C, 2x9 castellated/THT pads. U1 = KBD side, U2 = TGT side. SOCKETED - do not solder module to board.","Module 18.06 x 23.53 mm, 2x9 @ 2.54 mm, 15.24 mm row pitch",Thru-hole,Waveshare,ESP32-S3-Zero,NOT STOCKED,Waveshare direct,"CONSIGNED. Not carried by Digi-Key; buy direct from Waveshare."
2,1,D1,1N5817,"Schottky rectifier 1 A / 20 V, reverse-polarity protection. Band (cathode) faces the load.","DO-204AL / DO-41 axial (board pads are DO-201AD, 12.70 mm pitch)",Thru-hole,Taiwan Semiconductor,1N5817,1801-1N5817CT-ND,Digi-Key,"DESIGN-CRITICAL. Cut Tape, MOQ 1. Drop-in alternates by preference: SB560 > SB540 > 1N5817 > 1N5819."
3,1,C1,EEU-FC1C471,"Aluminium electrolytic capacitor 470 uF / 16 V, 20%, radial - inrush bulk cap. POLARISED: stripe = negative = GND.","Radial D10.00 mm, 5.00 mm lead spacing, 12.50 mm seated height",Thru-hole,Panasonic Industry,EEU-FC1C471,P10248-ND,Digi-Key,"MPN CORRECTED - see BOM.md. Verified 10.00 mm dia / 5.00 mm LS, matches CP_Radial_D10.0mm_P5.00mm. Bulk, MOQ 1."
4,1,C2,K104K15X7RF53H5,"Ceramic capacitor 100 nF / 50 V X7R, 10%, radial - HF decoupling","Radial 4.00 x 2.60 mm, 5.00 mm lead spacing, 6.60 mm seated height",Thru-hole,Vishay,K104K15X7RF53H5,BC3323-ND,Digi-Key,"MPN CORRECTED - see BOM.md. Same Vishay K-series, 5.00 mm LS variant. Bulk, MOQ 1."
5,1,F1,60R090XU,"PPTC resettable fuse 0.90 A hold / 1.80 A trip, 60 V, R1max 0.47 ohm - keyboard VBUS protection","Radial, body 11.2 x 3.1 mm, 5.08 mm lead spacing, 0.51 mm leads",Thru-hole,Littelfuse,60R090XU,F1923-ND,Digi-Key,"DESIGN-CRITICAL. Bulk, MOQ 1. Do NOT substitute 60R050 (0.5 A) - it nuisance-trips a legal 500 mA keyboard and its 1.17 ohm pushes VBUS below the 4.40 V USB floor."
6,5,"R1,R2,R3,R4,R5",CFR-25JB-52-2K2,"Resistor 2.2 kohm +/-5%, 1/4 W carbon film - SPI series resistors (SCK/MOSI/MISO/CS/DATA_READY)","Axial 2.40 x 6.30 mm, DIN0207, 10.16 mm pitch",Thru-hole,YAGEO,CFR-25JB-52-2K2,2.2KQBK-ND,Digi-Key,"Jellybean. Bulk, MOQ 1. Any 2.2k 1/4 W axial is fine."
7,4,"R6,R7,R8,R9",CFR-25JB-52-1K,"Resistor 1 kohm +/-5%, 1/4 W carbon film - UART TX/RX series, 2 per module","Axial 2.40 x 6.30 mm, DIN0207, 10.16 mm pitch",Thru-hole,YAGEO,CFR-25JB-52-1K,1.0KQBK-ND,Digi-Key,"MPN CORRECTED - Yageo suffix is -1K, not -1K0. Bulk, MOQ 1."
8,1,J3,PREC002SAAN-RC,"Pin header 1x2, 2.54 mm, vertical - 5 V input. Pin 1 = +5 V, pin 2 = GND.",THT header 1x2 @ 2.54 mm,Thru-hole,Sullins Connector Solutions,PREC002SAAN-RC,35-PREC002SAAN-RC-ND,Digi-Key,"Bulk, MOQ 1. Or cut from a breakaway strip."
9,2,"J1,J2",PREC003SAAN-RC,"Pin header 1x3, 2.54 mm, vertical - debug UART. Pin1 = module TX, pin2 = module RX, pin3 = GND.",THT header 1x3 @ 2.54 mm,Thru-hole,Sullins Connector Solutions,PREC003SAAN-RC,35-PREC003SAAN-RC-ND,Digi-Key,"Bulk, MOQ 1. NO VCC pin - deliberate (FR-026)."
10,4,"U1,U2 sockets",PPTC091LFBN-RC,"Female header 1x9, 2.54 mm - module sockets, 2 per module",THT socket strip 1x9 @ 2.54 mm,Thru-hole,Sullins Connector Solutions,PPTC091LFBN-RC,S7007-ND,Digi-Key,"Tray, MOQ 1. Board holes are drilled 1.0 mm to pass a 0.64 mm square pin (0.905 mm diagonal)."
11,4,"U1,U2 module pins",PREC009SAAN-RC,"Male pin header 1x9, 2.54 mm - soldered into each module's pad rows, 2 per module",THT header strip 1x9 @ 2.54 mm,Thru-hole,Sullins Connector Solutions,PREC009SAAN-RC,35-PREC009SAAN-RC-ND,Digi-Key,"Bulk, MOQ 1. Soldered to the MODULE, not the carrier. Consigned with the modules."
12,4,"H1,H2,H3,H4",M3x8 pan head + nut,"Mounting hardware M3 - board corner holes (3.2 mm NPTH)",M3 screw / nut,Hardware,Generic,M3x8,NOT ASSEMBLED,Any,"NOT SOLDERED - do not assemble. H3 (bottom-left) sits close to C1's body: use a low-profile head."
